threshold,mcc,f1,sensitivity,specificity,balanced_accuracy
0.44,0.0,0.5185185185185185,1.0,0.0,0.5
0.45,0.0,0.5185185185185185,1.0,0.0,0.5
0.46,0.0,0.5185185185185185,1.0,0.0,0.5
0.47000000000000003,0.0,0.5185185185185185,1.0,0.0,0.5
0.48000000000000004,0.0,0.5185185185185185,1.0,0.0,0.5
0.49,0.0,0.5185185185185185,1.0,0.0,0.5
0.5,0.0,0.5185185185185185,1.0,0.0,0.5
0.51,0.0,0.5185185185185185,1.0,0.0,0.5
0.52,0.0,0.5185185185185185,1.0,0.0,0.5
0.53,0.0,0.5185185185185185,1.0,0.0,0.5
0.54,0.0,0.5185185185185185,1.0,0.0,0.5
0.55,0.0,0.5185185185185185,1.0,0.0,0.5
0.56,0.0,0.5185185185185185,1.0,0.0,0.5
0.5700000000000001,0.0,0.5185185185185185,1.0,0.0,0.5
0.5800000000000001,0.08833906504195108,0.5240641711229946,1.0,0.02197802197802198,0.510989010989011
0.59,0.1258455564269084,0.5297297297297298,1.0,0.04395604395604396,0.521978021978022
0.6,0.1258455564269084,0.5297297297297298,1.0,0.04395604395604396,0.521978021978022
0.61,0.1258455564269084,0.5297297297297298,1.0,0.04395604395604396,0.521978021978022
0.62,0.1258455564269084,0.5297297297297298,1.0,0.04395604395604396,0.521978021978022
0.63,0.1258455564269084,0.5297297297297298,1.0,0.04395604395604396,0.521978021978022
0.64,0.18064892093237822,0.5414364640883977,1.0,0.08791208791208792,0.5439560439560439
0.65,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.66,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.67,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.68,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.6900000000000001,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.7000000000000001,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.7100000000000001,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.72,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.73,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.74,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.75,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.76,0.24459979523511424,0.56,1.0,0.15384615384615385,0.5769230769230769
0.77,0.2728030671490035,0.5697674418604651,1.0,0.18681318681318682,0.5934065934065934
0.78,0.2728030671490035,0.5697674418604651,1.0,0.18681318681318682,0.5934065934065934
0.79,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.8,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.81,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.8200000000000001,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.8300000000000001,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.8400000000000001,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.85,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.86,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.87,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.88,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.89,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.9,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.91,0.39133162093562956,0.620253164556962,1.0,0.34065934065934067,0.6703296703296704
0.92,0.3994297930101854,0.6242038216560509,1.0,0.3516483516483517,0.6758241758241759
0.93,0.6262688923665768,0.7538461538461538,1.0,0.6483516483516484,0.8241758241758241
0.9400000000000001,0.6542231190857987,0.7716535433070866,1.0,0.6813186813186813,0.8406593406593407
0.9500000000000001,0.7233903564470915,0.8166666666666667,1.0,0.7582417582417582,0.8791208791208791
0.9600000000000001,0.9071263182782511,0.94,0.9591836734693877,0.9560439560439561,0.957613814756672
0.97,0.8419444174502366,0.8958333333333334,0.8775510204081632,0.9560439560439561,0.9167974882260597
0.98,0.8419444174502366,0.8958333333333334,0.8775510204081632,0.9560439560439561,0.9167974882260597
0.99,0.8419444174502366,0.8958333333333334,0.8775510204081632,0.9560439560439561,0.9167974882260597
